STATE,DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,0V,DEC,ANNUAL RAINFALL,FLOOD 
102,102004,2005,69.08,43.07,92.65,92.72,273.98,145.72,155.41,146.68,146.89,289.59,356.82,433.78,2246.41,1
102,102004,2006,80.79,108.05,162.55,89.39,286.47,178.16,157.34,120.66,195.58,208.6,229.65,166.06,1983.3,1
102,102004,2007,137.87,29.34,120.27,191.19,137.17,130.61,214.7,188.55,287.58,332.79,205.08,200.4,2175.54,1
102,102004,2008,90.33,73.63,121.81,154.72,157.29,206.55,183.95,180.66,239.05,288.46,496.63,373.81,2566.88,1
102,102004,2009,156.4,69.42,244.58,186.28,258.47,70.4,181.39,311.22,177,197.95,467.96,227.34,2548.42,1
102,102004,2010,76.31,29.9,83.28,128.41,115.31,229.7,189.38,160.53,154.03,277.8,508.31,374.56,2327.51,1
102,102005,2000,52.71,90.84,243.86,242.83,265.26,236.55,124.7,226.19,290.66,274.7,314.81,144.31,2507.42,0
102,102005,2001,182.68,18.51,210.44,200.04,158.19,185.82,175.25,216.18,215.81,344.93,165.42,123.47,2196.75,0
102,102005,2002,3.65,4.66,43.39,197.06,156.11,99.91,154.37,202.02,244.37,210.87,225.25,144.84,1686.5,0
102,102005,2003,21.29,18.49,190.81,61.62,159.81,138.75,213.8,333.07,288.08,523.12,167.6,94.44,2210.89,1
102,102005,2004,17.5,56.92,81.15,153.41,187.78,240.65,199.88,182.95,236.85,259.07,106.8,56.87,1779.82,0
102,102005,2005,15,32.52,120.86,86.07,294.57,156.64,162.66,182.52,136.25,268.37,300.4,415.6,2171.45,1
102,102005,2006,28.04,117.15,179.36,175.83,252,235.21,218.69,137.99,212.66,208.54,154.96,76.28,1996.71,0
102,102005,2007,96.53,24.16,127.12,203.89,149.6,221.85,255.88,231.57,266.58,319.61,192.27,136.39,2225.46,1
102,102005,2008,44.42,59.46,97.71,193.03,200.13,244.77,190.91,188.52,244.35,375.88,273.14,134.44,2246.74,0
102,102005,2009,51.51,26.36,259.05,193.04,228.39,58.92,187.6,289.62,234.37,235.88,421.01,54.12,2239.87,1
102,102005,2010,77.18,29.5,82.54,158.73,139.7,292.06,190.22,150.39,218.02,270.33,422.91,241.06,2272.64,0
106,107001,2000,127.47,146.67,213.84,184.02,247.41,184.52,110.1,187.22,284.99,382.45,230.91,147.39,2447.01,0
106,107001,2001,148.62,35.08,183.02,230.97,199.17,145.76,180.47,235.79,224.66,329.55,201.27,119.8,2234.16,1
106,107001,2002,40.89,37.94,74.22,196.57,134.05,99.27,140.38,129.74,291.64,197.52,211.34,207.8,1761.37,1
106,107001,2003,63.15,90.21,192.08,106.38,126.31,154.83,193.87,310.01,273.96,645.6,195.6,135.13,2487.11,1
106,107001,2004,89.59,65.95,126.17,137.36,138.94,182.41,165.11,195.78,221.92,303.64,141.12,116.95,1884.94,1
106,107001,2005,71.04,51.82,93.75,118.15,265.51,134.64,173.36,185.74,157.7,282.54,306.48,296.83,2137.57,1
106,107001,2006,69.59,121.97,198.13,151.67,298.92,201.45,180.01,147.19,208.64,209.03,197.8,152.05,2136.46,0
106,107001,2007,147.7,40.96,124.16,221.79,149.96,143.89,232.23,192.59,310.77,335.8,205.84,176.44,2282.13,1
106,107001,2008,98.64,76.18,180.49,203.47,142.6,216.05,227.58,215.49,312.37,355.04,308.56,202.1,2538.56,1
106,107001,2009,114.35,98.75,273.38,196.89,287.45,82.62,202.6,378.48,224.12,233.65,337.84,198.73,2628.86,1
106,107001,2010,92.97,40.77,112.52,162.41,136.25,274.99,187.7,177.95,173.25,248.74,402.18,258.82,2268.54,1
106,107002,2000,127.47,146.67,213.84,184.02,247.41,184.52,110.1,187.22,284.99,382.45,230.91,147.39,2447.01,0
106,107002,2001,148.62,35.08,183.02,230.97,199.17,145.76,180.47,235.79,224.66,329.55,201.27,119.8,2234.16,1
106,107002,2002,40.89,37.94,74.22,196.57,134.05,99.27,140.38,129.74,291.64,197.52,211.34,207.8,1761.37,1
106,107002,2003,63.15,90.21,192.08,106.38,126.31,154.83,193.87,310.01,273.96,645.6,195.6,135.13,2487.11,1
106,107002,2004,89.59,65.95,126.17,137.36,138.94,182.41,165.11,195.78,221.92,303.64,141.12,116.95,1884.94,1
106,107002,2005,71.04,51.82,93.75,118.15,265.51,134.64,173.36,185.74,157.7,282.54,306.48,296.83,2137.57,1
106,107002,2006,69.59,121.97,198.13,151.67,298.92,201.45,180.01,147.19,208.64,209.03,197.8,152.05,2136.46,0
106,107002,2007,147.7,40.96,124.16,221.79,149.96,143.89,232.23,192.59,310.77,335.8,205.84,176.44,2282.13,1
106,107002,2008,98.64,76.18,180.49,203.47,142.6,216.05,227.58,215.49,312.37,355.04,308.56,202.1,2538.56,1
106,107002,2009,114.35,98.75,273.38,196.89,287.45,82.62,202.6,378.48,224.12,233.65,337.84,198.73,2628.86,1
106,107002,2010,92.97,40.77,112.52,162.41,136.25,274.99,187.7,177.95,173.25,248.74,402.18,258.82,2268.54,1
106,107003,2000,127.47,146.67,213.84,184.02,247.41,184.52,110.1,187.22,284.99,382.45,230.91,147.39,2447.01,0
106,107003,2001,148.62,35.08,183.02,230.97,199.17,145.76,180.47,235.79,224.66,329.55,201.27,119.8,2234.16,1
106,107003,2002,40.89,37.94,74.22,196.57,134.05,99.27,140.38,129.74,291.64,197.52,211.34,207.8,1761.37,1
106,107003,2003,63.15,90.21,192.08,106.38,126.31,154.83,193.87,310.01,273.96,645.6,195.6,135.13,2487.11,1
106,107003,2004,89.59,65.95,126.17,137.36,138.94,182.41,165.11,195.78,221.92,303.64,141.12,116.95,1884.94,1
106,107003,2005,71.04,51.82,93.75,118.15,265.51,134.64,173.36,185.74,157.7,282.54,306.48,296.83,2137.57,1
106,107003,2006,69.59,121.97,198.13,151.67,298.92,201.45,180.01,147.19,208.64,209.03,197.8,152.05,2136.46,0
106,107003,2007,147.7,40.96,124.16,221.79,149.96,143.89,232.23,192.59,310.77,335.8,205.84,176.44,2282.13,1
106,107003,2008,98.64,76.18,180.49,203.47,142.6,216.05,227.58,215.49,312.37,355.04,308.56,202.1,2538.56,1
106,107003,2009,114.35,98.75,273.38,196.89,287.45,82.62,202.6,378.48,224.12,233.65,337.84,198.73,2628.86,1
106,107003,2010,92.97,40.77,112.52,162.41,136.25,274.99,187.7,177.95,173.25,248.74,402.18,258.82,2268.54,1
109,109001,2000,281.74,135.85,146.15,267.53,147.76,108.82,117.37,193.41,261.1,283.65,264.66,286.05,2494.09,0
109,109001,2001,315.44,103.31,212.55,365.9,102.63,135.92,145.7,117.45,181.11,252.97,213.62,180.28,2326.86,1
109,109001,2002,122.78,111.26,138.22,335.3,116.48,101.83,97.51,158.91,297.02,245.91,305.62,275.45,2306.29,1
109,109001,2003,195.34,214.6,211.56,255.6,106.15,138.89,168.57,152.01,150.14,387.29,352.78,255.46,2588.39,1
109,109001,2004,224.8,232.47,182.87,239.03,103.94,60.54,275.72,92.62,171.34,304.46,306.95,204.36,2399.1,1
109,109001,2005,73.15,122.57,159.71,207.44,175.52,97.92,165.5,186.7,172.99,328.03,250.08,276.84,2216.44,1
109,109001,2006,238.96,344.92,215.07,221.25,195.33,128.98,133.1,191.38,262.96,306.02,351.62,267.17,2856.75,1
109,109001,2007,302.86,111.23,186.36,372.5,75.53,178.22,166.29,151.36,154,288.01,209.02,226.01,2421.39,1
109,109001,2008,268.45,151.58,392.58,232.36,93.97,181.32,159.96,253.45,182.77,376.35,362.93,234.26,2890,1
109,109001,2009,279.03,173.54,339.79,207.52,120.23,112.71,139.68,204.14,205.79,232.85,318.36,384.48,2718.12,1
109,109001,2010,189.92,153.73,158.07,274.6,287.68,168.29,181.72,148.18,199.33,116.61,273.53,264.92,2416.59,1
109,109002,2000,293.62,137.48,167.2,269.35,158.6,119.33,147.05,226.76,255.81,290.29,319.57,310.24,2695.3,0
109,109002,2001,331.69,124.42,224.02,409.41,119.03,162.2,173.19,148.92,186.1,262.74,219.56,198.71,2559.97,0
109,109002,2002,109.86,107.97,153.12,365.64,119.74,111.47,143.27,198.5,293.14,232.22,342.96,281.83,2459.71,0
109,109002,2003,201.03,205.78,248.21,300.33,110.15,124.01,188.6,160.86,150.16,336.66,370.87,267.17,2663.84,0
109,109002,2004,204.71,238.45,202.95,258.05,118.87,66.48,300.72,115.92,167.96,298.17,336.3,191.65,2500.24,0
109,109002,2005,64.87,145.91,183.9,212.29,191.22,96.51,186.53,187.87,177.26,316.74,228.93,252.33,2244.37,0
109,109002,2006,258.27,353.7,217.35,214.77,195.54,148.26,147.68,201.72,265.55,314.09,395.75,312.12,3024.8,0
109,109002,2007,321.59,132.94,215.9,429.28,94.62,197.83,168.47,149.43,153.34,320.73,213.94,233.68,2631.76,0
109,109002,2008,283.2,161.01,427.87,255.56,103.91,193.2,150.8,234.05,184.39,351.92,383.81,235.25,2964.99,0
109,109002,2009,263.78,203.34,323.02,218.34,99.64,121.83,137.51,191.38,213.5,238.47,327.09,407.99,2745.9,0
109,109002,2010,179.11,193.35,189.28,318.16,308.46,195.22,200.69,170.94,220.57,126.6,263.86,263.88,2630.11,0
